Time: 1576938947, Messages: 0, Members Joined: 0
Time: 1576938952, Messages: 1, Members Joined: 0
Time: 1576938957, Messages: 2, Members Joined: 0
Time: 1576938962, Messages: 0, Members Joined: 0
Time: 1576938967, Messages: 2, Members Joined: 0
Time: 1576938972, Messages: 3, Members Joined: 0
Time: 1576938977, Messages: 1, Members Joined: 0
Time: 1576938982, Messages: 0, Members Joined: 0
Time: 1576938987, Messages: 0, Members Joined: 0
Time: 1576938992, Messages: 0, Members Joined: 0
Time: 1576938997, Messages: 0, Members Joined: 0
Time: 1576939002, Messages: 0, Members Joined: 0
Time: 1576939007, Messages: 0, Members Joined: 0
Time: 1576939012, Messages: 0, Members Joined: 0
Time: 1576939017, Messages: 0, Members Joined: 0
Time: 1576939022, Messages: 0, Members Joined: 0
Time: 1576939027, Messages: 0, Members Joined: 0
Time: 1576939032, Messages: 0, Members Joined: 0
Time: 1576939037, Messages: 0, Members Joined: 0
Time: 1576939042, Messages: 0, Members Joined: 0
Time: 1576939048, Messages: 0, Members Joined: 0
Time: 1576939534, Messages: 0, Members Joined: 0
Time: 1576939539, Messages: 0, Members Joined: 0
Time: 1576939544, Messages: 0, Members Joined: 0
Time: 1576939549, Messages: 0, Members Joined: 0
Time: 1576939554, Messages: 0, Members Joined: 0
Time: 1576939559, Messages: 0, Members Joined: 0
Time: 1576939564, Messages: 0, Members Joined: 0
Time: 1576939569, Messages: 0, Members Joined: 0
Time: 1576939574, Messages: 0, Members Joined: 0
Time: 1576939579, Messages: 0, Members Joined: 0
Time: 1576939584, Messages: 0, Members Joined: 0
Time: 1576939589, Messages: 0, Members Joined: 0
Time: 1576939594, Messages: 0, Members Joined: 0
Time: 1576939604, Messages: 0, Members Joined: 0
Time: 1576939609, Messages: 1, Members Joined: 0
Time: 1576939614, Messages: 2, Members Joined: 0
Time: 1576939619, Messages: 0, Members Joined: 0
Time: 1576939624, Messages: 0, Members Joined: 0
Time: 1576939629, Messages: 0, Members Joined: 0
Time: 1576939634, Messages: 0, Members Joined: 0
Time: 1576939639, Messages: 0, Members Joined: 0
Time: 1576939644, Messages: 0, Members Joined: 0
Time: 1576939649, Messages: 0, Members Joined: 0
Time: 1576939654, Messages: 0, Members Joined: 0
Time: 1576939659, Messages: 0, Members Joined: 0
Time: 1576939664, Messages: 0, Members Joined: 0
Time: 1576939669, Messages: 0, Members Joined: 0
Time: 1576939674, Messages: 0, Members Joined: 0
Time: 1576939679, Messages: 0, Members Joined: 0
Time: 1576939684, Messages: 0, Members Joined: 0
Time: 1576939689, Messages: 0, Members Joined: 0
Time: 1576939694, Messages: 0, Members Joined: 0
Time: 1576939714, Messages: 0, Members Joined: 0
Time: 1576939719, Messages: 0, Members Joined: 0
Time: 1576939724, Messages: 0, Members Joined: 0
Time: 1576939729, Messages: 0, Members Joined: 0
Time: 1576939735, Messages: 0, Members Joined: 0
Time: 1576939740, Messages: 0, Members Joined: 0
Time: 1576939745, Messages: 0, Members Joined: 0
Time: 1576939754, Messages: 0, Members Joined: 0
Time: 1576939759, Messages: 0, Members Joined: 0
Time: 1576939764, Messages: 0, Members Joined: 0
Time: 1576939769, Messages: 0, Members Joined: 0
Time: 1576939774, Messages: 0, Members Joined: 0
Time: 1576939779, Messages: 0, Members Joined: 0
Time: 1576939784, Messages: 0, Members Joined: 0
Time: 1576939789, Messages: 0, Members Joined: 0
Time: 1576939794, Messages: 0, Members Joined: 0
Time: 1576939799, Messages: 0, Members Joined: 0
Time: 1576939804, Messages: 0, Members Joined: 0
Time: 1576939809, Messages: 0, Members Joined: 0
Time: 1576939814, Messages: 0, Members Joined: 0
Time: 1576939819, Messages: 0, Members Joined: 0
Time: 1576939824, Messages: 0, Members Joined: 0
Time: 1576939829, Messages: 0, Members Joined: 0
Time: 1576939834, Messages: 0, Members Joined: 0
Time: 1576939839, Messages: 0, Members Joined: 0
Time: 1576939844, Messages: 0, Members Joined: 0
Time: 1576939849, Messages: 0, Members Joined: 0
Time: 1576939854, Messages: 0, Members Joined: 0
Time: 1576939859, Messages: 0, Members Joined: 0
Time: 1576939864, Messages: 0, Members Joined: 0
Time: 1576939869, Messages: 0, Members Joined: 0
Time: 1576939874, Messages: 0, Members Joined: 0
Time: 1576939879, Messages: 0, Members Joined: 0
Time: 1576939884, Messages: 0, Members Joined: 0
Time: 1576939889, Messages: 0, Members Joined: 0
Time: 1576939894, Messages: 0, Members Joined: 0
Time: 1576939899, Messages: 0, Members Joined: 0
Time: 1576939904, Messages: 0, Members Joined: 0
Time: 1576939909, Messages: 0, Members Joined: 0
Time: 1576939914, Messages: 0, Members Joined: 0
Time: 1576939919, Messages: 0, Members Joined: 0
Time: 1576939924, Messages: 0, Members Joined: 0
Time: 1576939929, Messages: 0, Members Joined: 0
Time: 1576939934, Messages: 0, Members Joined: 0
Time: 1576939939, Messages: 0, Members Joined: 0
Time: 1576939944, Messages: 0, Members Joined: 0
Time: 1576939949, Messages: 0, Members Joined: 0
Time: 1576939963, Messages: 0, Members Joined: 0
Time: 1576939968, Messages: 0, Members Joined: 0
Time: 1576939973, Messages: 0, Members Joined: 0
Time: 1576939978, Messages: 0, Members Joined: 0
Time: 1576939983, Messages: 0, Members Joined: 0
Time: 1576939988, Messages: 0, Members Joined: 0
Time: 1576939993, Messages: 0, Members Joined: 0
Time: 1576939998, Messages: 0, Members Joined: 0
Time: 1576940003, Messages: 0, Members Joined: 0
Time: 1576940008, Messages: 0, Members Joined: 0
Time: 1576940013, Messages: 0, Members Joined: 0
Time: 1576940018, Messages: 0, Members Joined: 0
Time: 1576940023, Messages: 0, Members Joined: 0
Time: 1576940028, Messages: 0, Members Joined: 0
Time: 1576940033, Messages: 0, Members Joined: 0
Time: 1576940038, Messages: 0, Members Joined: 0
Time: 1576940043, Messages: 0, Members Joined: 0
Time: 1576940048, Messages: 0, Members Joined: 0
Time: 1576940053, Messages: 0, Members Joined: 0
Time: 1576940058, Messages: 0, Members Joined: 0
Time: 1576940063, Messages: 0, Members Joined: 0
Time: 1576940068, Messages: 0, Members Joined: 0
Time: 1576940073, Messages: 0, Members Joined: 0
Time: 1576940078, Messages: 0, Members Joined: 0
Time: 1576940083, Messages: 0, Members Joined: 0
Time: 1576940088, Messages: 0, Members Joined: 0
Time: 1576940093, Messages: 0, Members Joined: 0
Time: 1576940098, Messages: 0, Members Joined: 0
Time: 1576940103, Messages: 0, Members Joined: 0
Time: 1576940108, Messages: 0, Members Joined: 0
Time: 1576940113, Messages: 0, Members Joined: 0
Time: 1576940118, Messages: 0, Members Joined: 0
Time: 1576940123, Messages: 0, Members Joined: 0
Time: 1576940128, Messages: 0, Members Joined: 0
Time: 1576940133, Messages: 0, Members Joined: 0
Time: 1576940138, Messages: 0, Members Joined: 0
Time: 1576940143, Messages: 0, Members Joined: 0
Time: 1576940148, Messages: 0, Members Joined: 0
Time: 1576940153, Messages: 0, Members Joined: 0
Time: 1576940158, Messages: 0, Members Joined: 0
Time: 1576940163, Messages: 0, Members Joined: 0
Time: 1576940168, Messages: 0, Members Joined: 0
Time: 1576940173, Messages: 0, Members Joined: 0
Time: 1576940178, Messages: 0, Members Joined: 0
Time: 1576940183, Messages: 0, Members Joined: 0
Time: 1576940188, Messages: 0, Members Joined: 0
Time: 1576940193, Messages: 0, Members Joined: 0
Time: 1576940198, Messages: 0, Members Joined: 0
Time: 1576940203, Messages: 0, Members Joined: 0
Time: 1576940208, Messages: 0, Members Joined: 0
Time: 1576940213, Messages: 0, Members Joined: 0
Time: 1576940218, Messages: 0, Members Joined: 0
Time: 1576940223, Messages: 0, Members Joined: 0
Time: 1576940228, Messages: 0, Members Joined: 0
Time: 1576940233, Messages: 0, Members Joined: 0
Time: 1576940238, Messages: 0, Members Joined: 0
Time: 1576940243, Messages: 0, Members Joined: 0
Time: 1576940257, Messages: 0, Members Joined: 0
Time: 1576940262, Messages: 2, Members Joined: 0
Time: 1576940267, Messages: 0, Members Joined: 0
Time: 1576940272, Messages: 0, Members Joined: 0
Time: 1576940277, Messages: 1, Members Joined: 0
Time: 1576940282, Messages: 1, Members Joined: 0
Time: 1576940287, Messages: 0, Members Joined: 0
Time: 1576940292, Messages: 0, Members Joined: 0
Time: 1576940297, Messages: 0, Members Joined: 0
Time: 1576940302, Messages: 0, Members Joined: 0
Time: 1576940307, Messages: 0, Members Joined: 0
Time: 1576940312, Messages: 0, Members Joined: 0
Time: 1576940317, Messages: 0, Members Joined: 0
Time: 1576940322, Messages: 0, Members Joined: 0
Time: 1576940327, Messages: 0, Members Joined: 0
Time: 1576940332, Messages: 0, Members Joined: 0
Time: 1576940389, Messages: 0, Members Joined: 0
Time: 1576940394, Messages: 2, Members Joined: 0
Time: 1576940399, Messages: 2, Members Joined: 0
Time: 1576940404, Messages: 2, Members Joined: 0
Time: 1576940409, Messages: 0, Members Joined: 0
Time: 1576940414, Messages: 0, Members Joined: 0
Time: 1576940419, Messages: 0, Members Joined: 0
Time: 1576940424, Messages: 0, Members Joined: 0
Time: 1576940429, Messages: 0, Members Joined: 0
Time: 1576940434, Messages: 0, Members Joined: 0
Time: 1576940439, Messages: 0, Members Joined: 0
Time: 1576940444, Messages: 0, Members Joined: 0
Time: 1576940449, Messages: 0, Members Joined: 0
Time: 1576940454, Messages: 0, Members Joined: 0
Time: 1576940459, Messages: 0, Members Joined: 0
Time: 1576940464, Messages: 0, Members Joined: 0
Time: 1576940469, Messages: 0, Members Joined: 0
Time: 1576940474, Messages: 0, Members Joined: 0
Time: 1576940479, Messages: 0, Members Joined: 0
Time: 1576940484, Messages: 0, Members Joined: 0
Time: 1576940489, Messages: 0, Members Joined: 0
Time: 1576940494, Messages: 0, Members Joined: 0
Time: 1576940499, Messages: 0, Members Joined: 0
Time: 1576940504, Messages: 0, Members Joined: 0
Time: 1576940509, Messages: 0, Members Joined: 0
Time: 1576940515, Messages: 0, Members Joined: 0
Time: 1576940520, Messages: 2, Members Joined: 0
Time: 1576940525, Messages: 1, Members Joined: 0
Time: 1576940530, Messages: 0, Members Joined: 0
Time: 1576940535, Messages: 1, Members Joined: 0
Time: 1576940548, Messages: 0, Members Joined: 0
