Time: 1577209470, Messages: 0, Members Joined: 0
Time: 1577209475, Messages: 0, Members Joined: 0
Time: 1577209480, Messages: 0, Members Joined: 0
Time: 1577209485, Messages: 0, Members Joined: 0
Time: 1577209490, Messages: 0, Members Joined: 0
Time: 1577209495, Messages: 0, Members Joined: 0
Time: 1577209500, Messages: 0, Members Joined: 0
Time: 1577209505, Messages: 0, Members Joined: 0
Time: 1577209510, Messages: 0, Members Joined: 0
Time: 1577209515, Messages: 0, Members Joined: 0
Time: 1577209520, Messages: 0, Members Joined: 0
Time: 1577209525, Messages: 0, Members Joined: 0
Time: 1577209534, Messages: 0, Members Joined: 0
Time: 1577209539, Messages: 0, Members Joined: 0
Time: 1577209544, Messages: 1, Members Joined: 0
Time: 1577209549, Messages: 0, Members Joined: 0
Time: 1577209554, Messages: 0, Members Joined: 0
Time: 1577209559, Messages: 0, Members Joined: 0
Time: 1577209564, Messages: 0, Members Joined: 0
Time: 1577209569, Messages: 0, Members Joined: 0
Time: 1577209574, Messages: 0, Members Joined: 0
Time: 1577209579, Messages: 1, Members Joined: 0
Time: 1577209584, Messages: 0, Members Joined: 0
Time: 1577209589, Messages: 0, Members Joined: 0
Time: 1577209594, Messages: 0, Members Joined: 0
Time: 1577209599, Messages: 0, Members Joined: 0
Time: 1577209604, Messages: 0, Members Joined: 0
Time: 1577209609, Messages: 0, Members Joined: 0
Time: 1577209614, Messages: 0, Members Joined: 0
Time: 1577209619, Messages: 0, Members Joined: 0
Time: 1577209624, Messages: 0, Members Joined: 0
Time: 1577209629, Messages: 0, Members Joined: 0
Time: 1577209634, Messages: 0, Members Joined: 0
Time: 1577209639, Messages: 0, Members Joined: 0
Time: 1577209644, Messages: 0, Members Joined: 0
Time: 1577209649, Messages: 0, Members Joined: 0
Time: 1577209654, Messages: 0, Members Joined: 0
Time: 1577209659, Messages: 0, Members Joined: 0
Time: 1577209983, Messages: 0, Members Joined: 0
Time: 1577209988, Messages: 0, Members Joined: 0
Time: 1577209993, Messages: 0, Members Joined: 0
Time: 1577209998, Messages: 1, Members Joined: 0
Time: 1577210003, Messages: 0, Members Joined: 0
Time: 1577210008, Messages: 0, Members Joined: 0
Time: 1577210013, Messages: 0, Members Joined: 0
Time: 1577210018, Messages: 0, Members Joined: 0
Time: 1577210023, Messages: 0, Members Joined: 0
Time: 1577210028, Messages: 0, Members Joined: 0
Time: 1577210033, Messages: 0, Members Joined: 0
Time: 1577210038, Messages: 0, Members Joined: 0
Time: 1577210043, Messages: 0, Members Joined: 0
